CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
DLAGU0001RNL21,PRESA NATILLAS DE ABAJO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,COSIO,RÍO SAN PEDRO,PRESA NATILLAS DE ABAJO,LÉNTICO,PRESA,"-102,31390","22,37292",2012-2021,"23,2",Aceptable,48,Contaminada,50,Buena calidad,,,,,,,,,,,,,,,,,,,,,,,,,,,Rojo,"DQO,",SI,NO,SI,ND,ND,ND,ND,SI,LENTICO
DLAGU0002RNL21,PRESA EL JOCOQUI,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,RINCÓN DE ROMOS,RÍO SAN PEDRO,PRESA EL JOCOQUI,LÉNTICO,PRESA,"-102,36090","22,12506",2012-2021,"4,86",Buena calidad,18,Buena calidad,<10,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,Verde,,SI,SI,SI,ND,ND,ND,ND,SI,LENTICO
DLAGU0003RNL21,BORDO SANTA ELENA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA SANTA ELENA,LÉNTICO,PRESA,"-102,25030","21,90936",2012-2021,"6,6",Aceptable,189,Contaminada,32,Buena calidad,,,,,,,,,,,,,,,,,,,,,,,,,,,Rojo,"DQO,",SI,NO,SI,ND,ND,ND,ND,SI,LENTICO
DLAGU0004RNL21,HUMEDAL BUENAVISA DE PEÑUELAS  CHARCA NO. 5,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,HUMEDAL BUENAVISA,LÉNTICO,HUMEDAL,"-102,30013","21,71844",2012-2021,"9,3",Aceptable,60,Contaminada,22,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,Rojo,"DQO,",SI,NO,SI,ND,ND,ND,ND,SI,LENTICO
DLAGU0005RNL21,PRESA PEÑA BLANCA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA PEÑA BLANCA,LÉNTICO,PRESA,"-102,75197","21,90528",2012-2021,"2,91",Excelente,49,Contaminada,<10,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,Rojo,"DQO,",SI,NO,SI,ND,ND,ND,ND,SI,LENTICO
DLAGU11,PRESA JOCOQUI 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,RÍO SAN PEDRO,PRESA EL JOCOQUI,LÉNTICO,PRESA,"-102,35794","22,12123",2012-2021,<2,Excelente,"33,25",Aceptable,<10,Excelente,148,Buena calidad,<3,Excelente,,,,,"107,6",Excelente,"61,8",Buena calidad,"36,2",Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLAGU12,PRESA EL JOCOQUI COLA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,RÍO SAN PEDRO,PRESA EL JOCOQUI,LÉNTICO,PRESA,"-102,37846","22,13580",2012-2021,<2,Excelente,"35,57",Aceptable,<10,Excelente,272,Aceptable,<3,Excelente,,,,,"99,9",Excelente,"88,6",Excelente,"60,8",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,"1,1",Toxicidad baja,"1,3",Toxicidad baja,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLAGU13,PRESA PRESIDENTE CALLES 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,"-102,41856","22,14165",2012-2021,"2,14",Excelente,"25,785",Aceptable,<10,Excelente,218,Aceptable,"15,75",Excelente,,,,,"103,5",Excelente,"68,6",Buena calidad,"44,7",Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,"1,8",Toxicidad moderada,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLAGU14,PRESA PRESIDENTE CALLES EMBARCADERO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,"-102,42630","22,15254",2012-2021,<2,Excelente,"25,675",Aceptable,<10,Excelente,122,Buena calidad,10,Excelente,,,,,"101,2",Excelente,"74,5",Excelente,"46,1",Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLAGU15,PRESA PRESIDENTE CALLES TECONGO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,"-102,44221","22,13077",2012-2021,<2,Excelente,"26,254",Aceptable,<10,Excelente,41,Excelente,<3,Excelente,,,,,"99,1",Excelente,"71,7",Excelente,"41,6",Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
