,,,,,,,,,ESTADÍSTICA AGRÍCOLA EN DISTRITOS DE RIEGO
,,,,,,,,,AÑO AGRÍCOLA 2019-2020
,,,,,,,,,
CULTIVO,MODALIDAD,DISTRITO,,SUP SEMBRADA,SUP COSECHADA,REND,PRODUCCIÓN,PMR,VALOR DE PROD
,,,,ha,ha,ton/ha,ton,$/ton,$
Agave (Maguey),Tequilero,038,"Rio Mayo, Son.",  50 ,  50 ,"  12,5 ",  622 ,  1.974 ,  1.228.023 
,,094,"Jalisco Sur, Jal.",  3 ,  3 ,  -   ,  -   ,  -   ,  -   
Total Agave (Maguey),,,,  53 ,  53 ,"  11,8 ",  622 ,  1.974 ,  1.228.023 
Aguacate,,008,"Meztitlan, Hgo.",  21 ,  21 ,"  7,5 ",  154 ,  43.575 ,  6.726.237 
,,013,"Edo. De Jalisco, Jal.",  3 ,  3 ,"  8,4 ",  25 ,  6.465 ,  162.918 
,,016,"Edo.De Morelos, Mor.",  46 ,  46 ,"  16,0 ",  736 ,  20.000 ,  14.720.000 
,,041,"Rio Yaqui, Son.",  420 ,  420 ,"  13,0 ",  5.451 ,  16.080 ,  87.651.292 
,,048,"Ticul, Yuc.",  449 ,  449 ,"  18,1 ",  8.120 ,  7.847 ,  63.720.622 
,,049,"Rio Verde, S.L.P.",  6 ,  6 ,"  10,0 ",  60 ,  45.000 ,  2.700.000 
,,085,"La Begoña, Gto.",  22 ,  22 ,"  6,5 ",  142 ,  8.000 ,  1.134.976 
,,097,"Lazaro Cardenas, Mich.",  16 ,  16 ,"  5,0 ",  78 ,  27.000 ,  2.092.500 
Total Aguacate,,,,  981 ,  981 ,"  15,0 ",  14.766 ,  12.116 ,  178.908.545 
Ajo,,001,"Pabellón, Ags.",  30 ,  30 ,"  14,2 ",  425 ,  14.835 ,  6.310.775 
,,011,"Alto Rio Lerma, Gto.",  94 ,  94 ,"  14,1 ",  1.326 ,  87.784 ,  116.375.000 
,,014,"Rio Colorado, BC.",  252 ,  252 ,"  11,1 ",  2.792 ,  22.563 ,  63.000.344 
,,041,"Rio Yaqui, Son.",  9 ,  9 ,"  8,0 ",  68 ,  17.749 ,  1.206.932 
,,049,"Rio Verde, S.L.P.",  28 ,  28 ,"  7,0 ",  196 ,  30.000 ,  5.880.000 
,,066,"Sto. Domingo, Bcs.",  6 ,  6 ,"  12,0 ",  72 ,  38.400 ,  2.764.800 
,,085,"La Begoña, Gto.",  17 ,  17 ,"  8,0 ",  138 ,  47.468 ,  6.531.600 
Total Ajo,,,,  436 ,  436 ,"  11,5 ",  5.017 ,  40.278 ,  202.069.451 
Ajonjolí (sésamo),,010,"Culiacan-Humaya, Sin.",  3 ,  3 ,"  0,7 ",  2 ,  17.000 ,  35.700 
,,038,"Rio Mayo, Son.",  17 ,  17 ,"  0,6 ",  10 ,  16.341 ,  164.629 
,,041,"Rio Yaqui, Son.",  468 ,  468 ,"  0,6 ",  281 ,  16.341 ,  4.590.612 
,,074,"Mocorito, Sin.",  687 ,  637 ,"  0,7 ",  446 ,  17.000 ,  7.580.300 
,,076,"Valle Del Carrizo, Sin.",  17.630 ,  17.630 ,"  1,0 ",  17.630 ,  22.300 ,  393.152.345 
,,092C,"Rio Panuco, Unidad Pujal Coy.",  78 ,  78 ,"  0,9 ",  70 ,  22.000 ,  1.531.200 
,,097,"Lazaro Cardenas, Mich.",  8 ,  8 ,"  0,6 ",  5 ,  22.000 ,  105.600 
Total Ajonjolí (sésamo),,,,  18.892 ,  18.842 ,"  1,0 ",  18.444 ,  22.076 ,  407.160.386 
Albahaca,,043,"Edo. De Nayarit, Nay.",  18 ,  18 ,"  12,6 ",  227 ,  18.500 ,  4.195.800 
Total Albahaca,,,,  18 ,  18 ,"  12,6 ",  227 ,  18.500 ,  4.195.800 
Alcachofa,,066,"Sto. Domingo, Bcs.",  38 ,  38 ,"  11,3 ",  429 ,  9.450 ,  4.057.830 
Total Alcachofa,,,,  38 ,  38 ,"  11,3 ",  429 ,  9.450 ,  4.057.830 
Alfalfa,Verde,001,"Pabellón, Ags.",  1.088 ,  1.088 ,"  96,0 ",  104.425 ,  699 ,  73.034.565 
,,003,"Tula, Hgo.",  18.761 ,  18.761 ,"  140,0 ",  2.626.540 ,  500 ,  1.313.270.000 
,,005,"Cd. Delicias, Chih.",  31.922 ,  31.922 ,"  65,0 ",  2.074.930 ,  850 ,  1.763.690.500 
,,006,"Palestina, Coah.",  10 ,  10 ,"  35,0 ",  350 ,  770 ,  269.500 
,,008,"Meztitlan, Hgo.",  33 ,  33 ,"  88,0 ",  2.939 ,  3.780 ,  11.110.176 
,,009,"Cd. Juarez, Chih.",  2.202 ,  2.202 ,"  77,0 ",  169.554 ,  600 ,  101.732.400 
,,010,"Culiacan-Humaya, Sin.",  324 ,  324 ,"  78,0 ",  25.256 ,  545 ,  13.762.138 
,,011,"Alto Rio Lerma, Gto.",  5.351 ,  5.351 ,"  22,8 ",  121.917 ,  2.666 ,  325.021.983 
,,013,"Edo. De Jalisco, Jal.",  170 ,  170 ,"  66,5 ",  11.311 ,  680 ,  7.687.075 
,,014,"Rio Colorado, BC.",  38.601 ,  38.601 ,"  48,0 ",  1.852.848 ,  2.677 ,  4.960.981.992 
