,,,,,,,,,,ESTADÍSTICA AGRÍCOLA EN DISTRITOS DE RIEGO
,,,,,,,,,,AÑO AGRÍCOLA 2010-2011
,,,,,,,,,,
DISTRITO,,CICLO,MODALIDAD,CULTIVO,SUP SEMBRADA,SUP COSECHADA,REND,PRODUCCIÓN,PMR,VALOR DE PROD
,,,,,ha,ha,ton/ha,ton,$/ton,$
001,"Pabellón, Ags.",Otoño-Invierno,Riego,Ajo,92,92,"15,5",1.426,12.000,17.112.000
,,,,Avena Forrajera,124,124,"36,0",4.464,455,2.031.120
,,,,Otras Hortalizas,88,88,"19,0",1.672,6.550,10.951.600
,,,,Otros Pastos,110,110,"54,0",5.940,800,4.752.000
,,Primavera-Verano,Riego,Chile,152,152,"21,0",3.192,8.500,27.132.000
,,,,Frijol (Alubia),25,25,"2,7",68,8.000,540.000
,,,,Maíz Forrajero,3.580,3.580,"54,6",195.400,600,117.240.000
,,,,Maíz grano,2.060,2.060,"7,2",14.860,3.900,57.954.000
,,,,Otras Hortalizas,165,165,"22,0",3.630,4.450,16.153.500
,,,,Sorgo Grano,18,18,"5,3",95,3.500,333.900
,,Perennes,Riego,Alfalfa,690,690,"32,0",22.080,2.200,48.576.000
,,,,Otros Frutales,84,84,"10,2",857,35.000,29.988.000
,,,,Otros Pastos,29,29,"76,0",2.204,700,1.542.800
,,Segundos Cultivos,Riego,Maíz Forrajero,290,290,"80,0",23.200,600,13.920.000
,,,,Maíz grano,124,124,"9,0",1.116,3.900,4.352.400
Total 001,,,,,7.631,7.631,"36,7",280.204,1.258,352.579.320
002,"Mante, Tamps.",Perennes,Riego,Caña de Azúcar,15.191,12.310,"64,9",798.976,732,585.193.699
,,,,Naranja,10,10,"14,5",145,1.500,217.500
,,,,Zacate carretero,90,90,"15,3",1.377,610,839.970
Total 002,,,,,15.291,12.410,"64,5",800.498,732,586.251.169
003,"Tula, Hgo.",Otoño-Invierno,Riego,Avena Forrajera,2.385,2.385,"25,0",59.625,300,17.887.500
,,,,Cebada Forrajera,1.162,1.162,"20,0",23.240,290,6.739.600
,,,,Coliflor,365,365,"25,0",9.125,4.950,45.168.750
,,,,Nabo,486,486,"10,0",4.860,3.500,17.010.000
,,,,Otros Cultivos,473,473,"20,0",9.460,520,4.919.200
,,,,Trigo Grano,870,870,"5,0",4.350,3.400,14.790.000
,,Primavera-Verano,Riego,Calabacita (calabacín),589,589,"10,0",5.890,9.320,54.894.800
,,,,Chile,371,371,"8,0",2.968,9.500,28.196.000
,,,,Coliflor,295,295,"25,0",7.375,4.950,36.506.250
,,,,Frijol (Alubia),1.053,1.053,"2,0",2.106,12.000,25.272.000
,,,,Maíz grano,13.731,13.731,"11,0",151.041,4.800,724.996.800
,,,,Nabo,142,142,"10,0",1.420,3.500,4.970.000
,,,,Otros Cultivos,104,104,"10,0",1.040,3.760,3.910.400
,,,,Tomate de cáscara (Tomatillo),46,46,"8,0",368,4.000,1.472.000
,,Perennes,Riego,Alfalfa,26.893,26.893,"100,0",2.689.300,220,591.646.000
,,,,Otros Pastos,449,449,"90,0",40.410,180,7.273.800
,,Segundos Cultivos,Riego,Calabacita (calabacín),218,218,"10,0",2.180,9.320,20.317.600
,,,,Chile,32,32,"8,0",256,9.500,2.432.000
,,,,Coliflor,258,258,"25,0",6.450,4.950,31.927.500
,,,,Frijol (Alubia),365,365,"2,0",730,12.000,8.760.000
,,,,Maíz grano,3.333,3.333,"11,0",36.663,4.800,175.982.400
,,,,Nabo,116,116,"10,0",1.160,3.500,4.060.000
,,,,Otros Cultivos,374,374,"10,0",3.740,3.760,14.062.400
,,,,Tomate de cáscara (Tomatillo),125,125,"8,0",1.000,4.000,4.000.000
Total 003,,,,,54.235,54.235,"56,5",3.064.757,603,1.847.195.000
004,"Don Martín, N.L.",Otoño-Invierno,Riego,Avena Forrajera,19,19,"17,4",325,1.600,519.776
,,,,Maíz grano,934,934,"3,7",3.467,3.400,11.789.167
,,,,Rye Grass (Zacate ballico),8,8,"17,0",136,1.600,217.600
,,,,Sandía,12,12,"25,0",288,3.650,1.049.375
,,,,Sorgo Escobero,10,10,"2,7",27,5.965,161.055
,,,,Sorgo Forrajero,672,672,"21,0",14.102,1.600,22.563.616
,,,,Sorgo Grano,3.925,3.925,"3,8",14.774,3.150,46.539.448
,,,,Soya,404,404,"1,7",687,5.800,3.983.440
,,,,Trigo Grano,2.509,2.509,"3,9",9.780,3.987,38.993.570
,,Perennes,Riego,Búffel (Zacate),1.975,1.975,"28,1",55.517,1.300,72.172.224
Total 004,,,,,10.468,10.468,"9,5",99.104,1.998,197.989.270
005,"Cd. Delicias, Chih.",Otoño-Invierno,Riego,Avena,199,199,"4,0",796,1.300,1.034.800
,,,,Avena Forrajera,303,303,"35,0",10.619,250,2.654.838
,,,,Cebolla,81,81,"60,0",4.860,1.500,7.290.000
,,,,Rye Grass (Zacate ballico),64,64,"30,0",1.928,350,674.730
,,,,Trigo Forrajero,1.055,1.055,"20,0",21.095,1.150,24.259.250
,,Primavera-Verano,Riego,Algodón,2.653,2.653,"1,3",3.449,18.900,65.187.404
,,,,Avena Forrajera,709,709,"26,9",19.086,431,8.226.288
,,,,Cacahuate,4.257,4.257,"3,5",14.898,6.250,93.112.250
,,,,Camote,26,26,"20,0",520,6.000,3.120.000
,,,,Cebolla,1.683,1.683,"45,0",75.740,2.000,151.480.800
,,,,Chile,5.042,5.042,"35,0",176.462,2.000,352.924.600
,,,,Maíz Forrajero,4.718,4.718,"35,0",165.145,350,57.800.768
,,,,Sandía,2.672,2.672,"35,0",93.533,1.500,140.298.900
,,,,Sorgo Grano,134,134,"5,5",736,2.000,1.471.580
,,,,Soya,4,4,"2,0",9,1.343,11.948
,,,,Trigo Forrajero,946,946,"20,0",18.920,1.150,21.758.000
,,Perennes,Riego,Alfalfa,24.886,24.886,"20,0",497.724,1.400,696.813.042
,,,,Nogal (Nuez),6.731,6.731,"1,4",9.423,30.000,282.699.899
,,,,Vid,139,139,"12,0",1.671,1.800,3.007.584
,,Segundos Cultivos,Riego,Cacahuate,87,87,"3,5",305,6.250,1.903.125
,,,,Frijol (Alubia),160,160,"1,5",239,12.000,2.871.900
,,,,Maíz Forrajero,718,718,"35,0",25.147,350,8.801.503
,,,,Sorgo Grano,15,15,"5,5",80,2.000,159.500
Total 005,,,,,57.283,57.283,"19,9",1.142.385,1.687,1.927.562.707
006,"Palestina, Coah.",Otoño-Invierno,Riego,Avena Forrajera,259,259,"19,5",5.041,540,2.722.005
,,,,Rye Grass (Zacate ballico),35,35,"29,6",1.036,425,440.300
,,,,Trigo Grano,22,22,"1,6",34,1.350,46.035
,,Primavera-Verano,Riego,Frijol (Alubia),39,39,"0,6",24,7.500,183.326
,,,,Maíz grano,260,260,"3,5",905,3.500,3.167.500
,,,,Sandía,21,21,"16,9",355,2.620,931.148
,,,,Sorgo Escobero,8,8,"3,5",28,3.750,105.000
,,,,Sorgo Forrajero,1.485,1.485,"25,5",37.867,650,24.613.745
,,,,Sorgo Grano,1,1,"3,5",4,1.400,4.900
,,Perennes,Riego,Alfalfa,24,24,"33,9",813,850,690.965
,,,,Bermuda (Zacate),40,40,"30,2",1.193,750,894.675
,,,,Klein Grass (Zacate),327,327,"32,2",10.512,450,4.730.603
,,,,Nogal (Nuez),28,28,"0,9",24,25.000,595.000
Total 006,,,,,2.547,2.547,"22,7",57.837,676,39.125.202
008,"Meztitlan, Hgo.",Otoño-Invierno,Riego,Calabacita (calabacín),124,124,"13,0",1.611,4.000,6.444.360
,,,,Chícharo,89,89,"5,0",444,5.000,2.217.500
,,,,Chile,14,14,"14,0",190,6.500,1.233.050
,,,,Ejote,623,623,"7,0",4.358,5.000,21.790.650
,,,,Frijol (Alubia),210,210,"2,0",420,9.000,3.784.320
,,,,Jitomate (tomate rojo),1,1,"16,0",18,4.000,73.600
,,,,Maíz grano,1.505,1.505,"6,0",9.029,4.000,36.116.640
,,,,Otras Hortalizas,16,16,"10,0",158,6.000,945.000
,,,,Otros Cultivos,24,24,"2,0",48,12.000,570.960
,,,,Sorgo Grano,15,15,"7,0",104,2.000,207.060
,,,,Tomate de cáscara (Tomatillo),15,15,"13,0",192,4.200,805.896
,,Primavera-Verano,Riego,Calabacita (calabacín),9,9,"12,0",110,4.100,450.180
,,,,Chile,112,112,"14,0",1.564,6.500,10.167.430
,,,,Ejote,145,145,"8,0",1.159,5.000,5.795.200
,,,,Frijol (Alubia),78,78,"2,0",156,9.000,1.405.260
,,,,Maíz grano,528,325,"8,0",2.600,4.000,10.400.000
,,,,Otras Hortalizas,18,18,"12,0",217,4.400,955.680
,,,,Sorgo Grano,25,25,"7,0",176,2.000,352.100
,,Perennes,Riego,Aguacate,11,11,"9,0",97,5.000,483.750
,,,,Alfalfa,29,29,"72,0",2.066,750,1.549.800
,,,,Durazno (Melocotón),1,1,"7,0",7,6.500,43.225
,,,,Frutales Asociados,1,1,"10,0",14,5.500,77.000
,,,,Granado,7,7,"7,0",48,3.200,154.560
,,,,Nogal Asociado,22,22,"5,0",108,30.000,3.243.000
,,Segundos Cultivos,Riego,Calabacita (calabacín),58,35,"13,0",455,4.200,1.911.000
,,,,Chícharo,15,0,"0,0",0,0,0
,,,,Chile,2,0,"0,0",0,0,0
,,,,Ejote,247,150,"8,0",1.200,4.000,4.800.000
,,,,Frijol (Alubia),83,0,"0,0",0,0,0
,,,,Jitomate (tomate rojo),16,0,"0,0",0,0,0
,,,,Maíz grano,499,200,"7,0",1.400,4.000,5.600.000
,,,,Otras Hortalizas,13,5,"8,0",40,4.100,164.000
,,,,Sorgo Grano,0,0,"0,0",0,0,0
Total 008,,,,,4.553,3.807,"7,4",27.989,4.350,121.741.221
009,"Cd. Juarez, Chih.",Otoño-Invierno,Riego,Avena Forrajera,128,128,"25,0",3.200,470,1.504.000
,,,,Trigo Grano,2.518,2.518,"5,1",12.842,3.650,46.872.570
,,Primavera-Verano,Riego,Algodón,4.347,4.347,"2,0",8.694,11.407,99.172.458
,,,,Sorgo Forrajero,100,100,"30,0",3.000,475,1.425.000
,,,,Sudan (Zacate),20,20,"30,0",600,430,258.000
,,Perennes,Riego,Alfalfa,1.660,1.660,"15,1",25.066,1.800,45.118.802
,,,,Nogal (Nuez),232,232,"1,5",348,70.000,24.360.000
,,,,Otros Forrajes,276,276,"32,0",8.832,430,3.797.760
,,Segundos Cultivos,Riego,Sorgo Forrajero,939,939,"26,0",24.414,475,11.596.650
,,,,Sudan (Zacate),245,245,"24,0",5.880,430,2.528.400
Total 009,,,,,10.465,10.465,"8,9",92.876,2.548,236.633.639
010,"Culiacan-Humaya, Sin.",Otoño-Invierno,Riego,Ajonjolí (sésamo),4,0,"0,0",0,0,0
,,,,Berenjena,750,390,"54,3",21.177,6.800,144.003.600
,,,,Calabaza,1.983,514,"12,6",6.476,7.327,47.451.288
,,,,Cártamo (Alazor),178,120,"2,0",240,4.500,1.080.000
,,,,Cebolla,247,33,"16,2",535,5.285,2.825.361
,,,,Chile,2.950,1.242,"70,3",87.299,5.898,514.869.329
,,,,Ejote,1.369,406,"14,2",5.765,6.118,35.271.494
,,,,Frijol (Alubia),10.744,200,"1,6",320,11.834,3.786.720
,,,,Garbanzo,7.501,1.788,"1,8",3.218,12.000,38.620.800
,,,,Jitomate (tomate rojo),4.078,1.881,"78,1",146.867,3.450,506.750.069
,,,,Maíz Asociado,8.029,0,"0,0",0,0,0
,,,,Maíz grano,145.759,17.547,"11,1",194.775,4.200,818.055.126
,,,,Otras Hortalizas,3.078,1.007,"10,2",10.271,7.135,73.286.439
,,,,Pepino,1.771,1.028,"60,6",62.309,3.297,205.444.971
,,,,Sandía,28,0,"0,0",0,0,0
,,,,Sorgo Escobero,16,0,"0,0",0,0,0
,,,,Sorgo Forrajero,72,18,"12,0",216,2.117,457.272
,,,,Sorgo Grano,3.369,89,"8,0",712,3.000,2.136.000
,,,,Tomate de cáscara (Tomatillo),82,0,"0,0",0,0,0
,,,,Trigo Grano,2.046,1.991,"4,9",9.756,3.500,34.145.650
,,Perennes,Riego,Alfalfa,217,146,"16,0",2.336,4.320,10.091.520
,,,,Caña de Azúcar,2.769,2.706,"95,7",258.935,500,129.467.745
,,,,Otros Frutales,1.037,1.037,"15,1",15.659,1.800,28.185.393
,,,,Sudan (Zacate),789,751,"12,0",9.006,2.117,19.065.702
,,Segundos Cultivos,Riego,Calabaza,108,108,"12,6",1.361,7.327,9.970.309
,,,,Cártamo (Alazor),156,156,"2,0",312,4.500,1.404.000
,,,,Garbanzo,668,668,"1,8",1.202,12.000,14.428.800
,,,,Jitomate (tomate rojo),12,12,"78,1",937,3.450,3.233.715
,,,,Maíz Asociado,1.424,1.424,"10,1",14.435,4.200,60.627.840
,,,,Maíz grano,122.151,122.151,"7,2",879.804,4.200,3.695.177.766
,,,,Otras Hortalizas,7,7,"10,2",71,7.135,509.439
,,,,Otros Cultivos,80,80,"10,2",816,7.135,5.822.160
,,,,Pepino,31,31,"60,6",1.879,3.297,6.194.120
,,,,Sorgo Escobero,81,81,"0,9",71,10.100,719.928
,,,,Sorgo Forrajero,71,71,"8,8",627,3.490,2.188.254
,,,,Sorgo Grano,32.728,32.728,"7,8",254.317,3.000,762.951.180
,,,,Tomate de cáscara (Tomatillo),6,6,"18,0",108,6.000,648.000
,,,,Trigo Grano,91,91,"4,9",446,3.500,1.560.650
Total 010,,,,,356.477,190.507,"10,5",1.992.260,3.604,7.180.430.640
011,"Alto Rio Lerma, Gto.",Otoño-Invierno,Riego,Ajo,202,202,"11,6",2.353,17.342,40.804.540
,,,,Anís,5,5,"2,5",13,10.000,125.000
,,,,Apio,10,10,"13,0",130,4.400,572.000
,,,,Avena Forrajera,263,263,"7,1",1.878,2.093,3.932.105
