,,,,,,,,,,,,,,,,SUPERFICIES FÍSICAS REGADAS Y VOLÚMENES DISTRIBUÍDOS
,,,,,,,,,,,,,,,,AÑO AGRÍCOLA 1997-1998
,,,,,,,,,,,,,,,,
DISTRITO,,NUMERO DE CULTIVOS,CONCEPTO,GRAVEDAD-PRESAS,,,GRAVEDAD-DERIVACION,,,BOMBEO CORRIENTES,,,BOMBEO POZOS,,,Total general
,,,,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,Ejidal,Peq. Prop.,Suma,
001,"Pabellón, Ags.",1 cultivo,Usuarios,1.483,495,1.978,,,,,,,840,188,1.028,3.006
,,,Superficie Física Regada (ha),1.447,1.768,3.215,,,,,,,2.501,2.096,4.597,7.812
,,,Volumen Bruto (miles m3),11.721,14.321,26.041,,,,,,,28.556,23.933,52.489,78.530
,,,Lamina Bruta (cm),81,81,81,0,0,0,0,0,0,114,114,114,101
,,2 cultivos,Usuarios,,,,,,,,,,90,73,163,163
,,,Superficie Física Regada (ha),,,,,,,,,,288,235,523,523
,,,Volumen Bruto (miles m3),,,,,,,,,,1.577,1.286,2.862,2.862
,,,Lamina Bruta (cm),0,0,0,0,0,0,0,0,0,55,55,55,55
Suma de Usuarios 001,,,,1.483,495,1.978,,,,,,,930,261,1.191,3.169
Suma de Superficie Física Regada 001,,,,1.447,1.768,3.215,,,,,,,2.789,2.331,5.120,8.335
Suma de Volumen Bruto 001,,,,11.721,14.321,26.041,,,,,,,30.133,25.219,55.351,81.392
Lámina Bruta 001,,,,81,81,81,0,0,0,0,0,0,108,108,108,98
002,"Mante, Tamps.",1 cultivo,Usuarios,,,,1.329,197,1.526,56,6,62,,,,1.588
,,,Superficie Física Regada (ha),,,,10.286,3.618,13.904,626,212,838,,,,14.742
,,,Volumen Bruto (miles m3),,,,110.492,38.865,149.357,7.163,2.426,9.589,,,,158.946
,,,Lamina Bruta (cm),0,0,0,107,107,107,114,114,114,0,0,0,108
Suma de Usuarios 002,,,,,,,1.329,197,1.526,56,6,62,,,,1.588
Suma de Superficie Física Regada 002,,,,,,,10.286,3.618,13.904,626,212,838,,,,14.742
Suma de Volumen Bruto 002,,,,,,,110.492,38.865,149.357,7.163,2.426,9.589,,,,158.946
Lámina Bruta 002,,,,0,0,0,107,107,107,114,114,114,0,0,0,108
003,"Tula, Hgo.",1 cultivo,Usuarios,3.787,2.999,6.786,12.134,9.601,21.735,,,,,,,28.521
,,,Superficie Física Regada (ha),5.821,5.169,10.990,18.634,16.555,35.189,,,,,,,46.179
,,,Volumen Bruto (miles m3),122.262,107.202,229.464,390.840,343.226,734.066,,,,,,,963.530
,,,Lamina Bruta (cm),210,207,209,210,207,209,0,0,0,0,0,0,209
,,2 cultivos,Usuarios,449,306,755,1.437,981,2.418,,,,,,,3.173
,,,Superficie Física Regada (ha),689,529,1.218,2.208,1.690,3.898,,,,,,,5.116
,,,Volumen Bruto (miles m3),2.738,2.097,4.835,8.766,6.715,15.481,,,,,,,20.316
,,,Lamina Bruta (cm),40,40,40,40,40,40,0,0,0,0,0,0,40
Suma de Usuarios 003,,,,4.236,3.305,7.541,13.571,10.582,24.153,,,,,,,31.694
Suma de Superficie Física Regada 003,,,,6.510,5.698,12.208,20.842,18.245,39.087,,,,,,,51.295
Suma de Volumen Bruto 003,,,,125.000,109.299,234.299,399.606,349.941,749.547,,,,,,,983.846
Lámina Bruta 003,,,,192,192,192,192,192,192,0,0,0,0,0,0,192
003A,"Nuevos Proyectos, Hgo.",1 cultivo,Usuarios,,,,512,,512,359,469,828,,,,1.340
