ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,135.7,3.8,1.7,9.4,23.2,36.1,87.6,70.7,46.8,152.7,26.1,9.9,603.5
BAJA CALIFORNIA,15.8,107.3,37.0,13.5,0.0,0.0,5.3,0.0,9.7,0.0,0.0,30.5,219.0
BAJA CALIFORNIA SUR,21.0,2.1,30.5,3.8,0.0,0.0,6.2,8.5,31.1,0.0,0.0,16.5,119.8
CAMPECHE,56.4,21.1,20.3,26.8,197.3,272.0,78.9,172.8,267.6,153.0,163.8,16.6,"1,446.4"
COAHUILA,64.1,37.8,3.6,63.8,116.6,43.1,90.5,45.8,53.6,8.3,12.1,12.1,551.5
COLIMA,262.5,59.8,0.0,4.2,0.0,31.0,192.3,143.0,347.4,225.4,3.7,84.2,"1,353.5"
CHIAPAS,62.8,7.8,123.6,45.8,24.8,289.7,179.6,220.6,235.9,71.3,65.7,8.8,"1,336.5"
CHIHUAHUA,41.6,37.4,5.9,7.6,32.8,20.5,98.0,104.0,59.8,14.0,15.3,19.3,456.1
DISTRITO FEDERAL,36.4,17.8,9.8,12.9,118.7,70.6,150.0,171.8,189.8,149.3,60.9,4.9,993.0
DURANGO,121.1,20.2,3.6,3.2,25.1,11.3,87.2,139.2,43.9,19.0,18.6,22.3,514.6
GUANAJUATO,138.4,21.5,3.5,22.6,78.6,70.1,198.5,163.6,124.5,89.1,27.6,15.6,953.6
GUERRERO,45.1,28.5,0.7,9.1,37.9,68.6,136.3,212.2,308.9,194.9,29.4,25.0,"1,096.5"
HIDALGO,68.8,33.6,32.7,20.5,115.1,64.8,132.6,124.6,95.3,133.7,57.9,21.3,900.7
JALISCO,285.4,24.6,0.9,6.1,24.4,38.0,193.0,249.8,192.1,150.3,14.1,58.1,"1,236.7"
ESTADO DE MÉXICO,42.6,27.9,17.9,16.2,112.4,67.3,131.7,175.6,244.0,108.8,42.5,5.2,991.9
MICHOACÁN,118.4,22.0,1.0,16.4,40.6,35.5,133.5,178.1,250.3,164.2,22.3,27.9,"1,010.3"
MORELOS,68.2,33.5,2.1,4.5,119.8,131.4,213.4,253.5,298.4,145.7,48.8,7.2,"1,326.6"
NAYARIT,180.9,31.6,1.5,0.2,24.6,17.0,233.4,238.6,213.1,52.2,4.7,107.4,"1,105.3"
NUEVO LEÓN,77.6,19.3,15.4,44.9,118.0,42.3,62.9,94.3,74.6,42.1,99.0,12.0,702.5
OAXACA,19.9,9.9,8.8,19.1,49.4,139.0,145.3,137.2,140.1,38.1,35.7,6.0,748.5
PUEBLA,72.8,23.6,16.5,34.6,95.4,134.6,131.9,148.9,196.3,160.3,50.5,6.4,"1,071.8"
QUERÉTARO,122.9,23.8,11.5,21.9,85.2,70.8,180.8,172.4,117.1,103.0,26.6,23.8,959.8
QUINTANA ROO,39.8,16.9,25.1,74.7,24.1,278.2,112.6,167.5,196.8,172.8,183.3,52.5,"1,344.2"
SAN LUIS POTOSÍ,105.4,8.2,24.7,38.8,84.7,48.6,60.2,63.6,71.6,121.2,33.1,17.2,677.3
SINALOA,180.0,52.1,8.1,0.0,0.0,0.0,151.0,170.6,130.9,10.0,9.8,54.4,766.9
SONORA,39.4,38.1,30.2,8.7,8.0,5.7,67.1,128.2,58.3,8.5,3.1,55.0,450.2
TABASCO,204.9,62.5,40.4,29.2,52.3,282.2,124.2,217.1,432.5,165.6,134.3,29.9,"1,775.1"
TAMAULIPAS,101.2,14.4,19.1,85.4,113.4,67.9,56.8,146.8,73.5,199.3,55.7,7.1,940.5
TLAXCALA,63.9,17.3,16.1,31.8,209.2,94.8,131.7,173.7,164.9,106.8,44.6,3.2,"1,058.0"
VERACRUZ,99.6,45.2,30.1,58.3,74.2,167.7,156.3,289.8,370.3,246.0,93.3,31.6,"1,662.5"
YUCATÁN,26.9,26.6,26.1,96.6,10.8,165.1,122.6,172.8,235.4,161.8,169.7,12.7,"1,227.2"
ZACATECAS,120.8,14.8,3.4,4.8,45.4,28.2,76.2,75.9,63.3,54.2,40.0,23.9,551.0
NACIONAL,86.2,30.5,19.0,26.6,51.6,69.1,130.0,132.1,124.7,74.2,39.1,26.2,809.3
