ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,13.0,15.2,16.0,20.5,20.9,21.1,20.8,20.3,19.0,17.1,14.3,13.5,17.7
BAJA CALIFORNIA,11.9,12.5,15.1,16.0,20.9,23.8,25.0,25.6,23.7,20.3,16.7,12.6,18.7
BAJA CALIFORNIA SUR,16.1,17.0,17.7,19.9,22.8,26.0,28.4,28.8,27.5,24.3,21.4,16.7,22.2
CAMPECHE,21.7,25.0,25.3,27.7,27.5,27.6,27.3,27.2,27.0,26.4,24.2,23.6,25.9
COAHUILA,12.1,15.5,16.6,22.7,25.0,26.5,26.4,26.0,24.3,20.9,16.9,12.2,20.4
COLIMA,24.0,24.6,23.2,25.0,27.1,27.9,27.6,27.2,26.6,27.1,25.3,24.8,25.9
CHIAPAS,21.6,22.9,23.7,25.4,25.2,24.4,24.5,24.5,23.9,23.7,22.6,22.5,23.7
CHIHUAHUA,8.7,10.8,13.2,19.1,20.8,23.8,24.0,23.4,21.1,17.5,12.4,7.6,16.9
DISTRITO FEDERAL,12.6,14.5,16.0,18.0,17.5,17.3,16.9,16.9,16.6,15.6,13.4,13.1,15.7
DURANGO,11.0,13.4,14.1,20.0,20.7,22.6,21.9,21.7,20.3,17.6,14.3,11.2,17.4
GUANAJUATO,14.8,16.4,17.5,20.8,20.8,20.4,20.0,19.9,19.1,17.4,15.3,14.8,18.1
GUERRERO,23.7,24.9,25.0,26.7,27.1,25.9,25.6,25.7,25.3,25.3,24.3,23.7,25.3
HIDALGO,13.7,15.2,16.9,18.8,18.5,19.2,18.8,18.4,17.8,16.0,14.9,14.4,16.9
JALISCO,16.8,18.7,18.7,22.3,23.6,23.0,22.1,22.3,21.9,20.7,18.0,17.0,20.4
ESTADO DE MÉXICO,11.5,12.8,13.5,15.9,15.5,15.5,15.0,15.2,14.7,13.4,11.6,11.3,13.8
MICHOACÁN,15.8,17.4,17.7,20.8,21.0,20.2,19.6,19.6,19.0,18.0,16.0,15.7,18.4
MORELOS,18.9,20.5,21.5,23.4,23.7,22.2,21.7,22.0,21.7,21.0,19.6,19.1,21.3
NAYARIT,21.0,22.5,21.0,24.4,27.2,28.1,27.1,26.9,27.0,26.0,24.1,21.2,24.7
NUEVO LEÓN,13.4,16.4,16.8,21.7,23.1,25.1,25.6,25.6,22.6,19.9,17.0,14.2,20.1
OAXACA,18.8,20.0,21.2,23.0,23.1,22.5,22.3,22.3,21.8,21.3,20.3,19.8,21.4
PUEBLA,14.5,16.0,17.3,19.6,19.7,19.1,18.7,18.8,18.5,17.2,16.0,15.0,17.5
QUERÉTARO,14.7,16.4,17.7,20.0,19.5,19.2,19.0,18.6,17.9,16.1,15.3,14.9,17.4
QUINTANA ROO,21.6,24.3,24.6,25.8,26.1,26.9,27.1,27.1,27.0,26.2,24.4,23.9,25.4
SAN LUIS POTOSÍ,16.1,18.5,20.3,23.7,24.0,25.0,24.5,24.2,23.1,21.0,18.7,17.3,21.4
SINALOA,18.7,20.1,20.0,23.2,27.1,30.1,29.5,29.3,29.1,26.8,24.0,19.0,24.7
SONORA,13.3,14.9,17.5,20.7,26.3,29.4,29.7,29.7,29.3,24.0,19.6,13.2,22.3
TABASCO,22.0,23.8,25.7,28.0,27.7,28.2,28.0,27.9,27.0,26.1,24.7,23.8,26.1
TAMAULIPAS,16.5,20.3,21.3,25.3,26.2,28.2,28.2,27.9,25.7,23.5,20.9,18.4,23.5
TLAXCALA,11.7,12.8,13.7,15.8,15.7,15.5,15.2,15.2,15.1,14.1,12.2,12.1,14.1
VERACRUZ,18.5,20.6,22.4,25.1,25.1,26.2,25.6,25.3,25.0,23.2,21.5,19.9,23.2
YUCATÁN,22.3,25.7,25.9,28.0,27.6,28.9,28.3,28.5,27.7,26.3,23.2,23.1,26.3
ZACATECAS,12.5,14.8,14.6,20.1,20.1,20.5,20.4,20.1,18.9,16.7,13.8,12.5,17.1
NACIONAL,16.4,18.3,19.1,22.1,23.0,23.8,23.6,23.5,22.7,21.0,18.7,16.9,20.7
